x,y,z,content_id,_x,_y,_z
5625980.0,2315650.0,-450.0,7,5,5,5
5625980.0,2315650.0,-455.0,7,5,5,5
5625980.0,2315650.0,-470.0,7,5,5,5
5625980.0,2315650.0,-485.0,7,5,5,5
5625980.0,2315650.0,-490.0,7,5,5,5
5625980.0,2315650.0,-495.0,7,5,5,5
5625980.0,2315650.0,-495.0,5,5,5,5
5625980.0,2315650.0,-500.0,5,5,5,5
5625980.0,2315650.0,-500.0,8,5,5,5
5625980.0,2315650.0,-505.0,8,5,5,5
5625980.0,2315650.0,-505.0,7,5,5,5
5625980.0,2315650.0,-510.0,7,5,5,5
5625980.0,2315650.0,-515.0,7,5,5,5
5625980.0,2315650.0,-515.0,5,5,5,5
5625980.0,2315650.0,-520.0,7,5,5,5
5625980.0,2315650.0,-525.0,7,5,5,5
5625980.0,2315650.0,-525.0,2,5,5,5
5625980.0,2315650.0,-530.0,2,5,5,5
5625980.0,2315650.0,-530.0,7,5,5,5
5625980.0,2315650.0,-535.0,7,5,5,5
5626190.0,2315695.0,-420.0,2,5,5,5
5626190.0,2315695.0,-425.0,2,5,5,5
5626190.0,2315695.0,-430.0,2,5,5,5
5626190.0,2315695.0,-435.0,2,5,5,5
5626190.0,2315695.0,-440.0,2,5,5,5
5626190.0,2315695.0,-445.0,2,5,5,5
5626190.0,2315695.0,-450.0,2,5,5,5
5626190.0,2315695.0,-455.0,2,5,5,5
5626190.0,2315695.0,-460.0,2,5,5,5
5626190.0,2315695.0,-465.0,2,5,5,5
5626190.0,2315695.0,-470.0,2,5,5,5
5626190.0,2315695.0,-470.0,7,5,5,5
5626190.0,2315695.0,-475.0,2,5,5,5
5626190.0,2315695.0,-475.0,7,5,5,5
5626190.0,2315695.0,-480.0,2,5,5,5
5626190.0,2315695.0,-480.0,7,5,5,5
5626190.0,2315695.0,-485.0,2,5,5,5
5626190.0,2315695.0,-490.0,2,5,5,5
5626190.0,2315695.0,-495.0,2,5,5,5
5626190.0,2315695.0,-500.0,2,5,5,5
5626190.0,2315695.0,-505.0,2,5,5,5
5626190.0,2315695.0,-505.0,7,5,5,5
5626205.0,2315840.0,-415.0,2,5,5,5
5626205.0,2315840.0,-420.0,2,5,5,5
5626205.0,2315840.0,-420.0,5,5,5,5
5626205.0,2315840.0,-425.0,5,5,5,5
5626205.0,2315840.0,-425.0,2,5,5,5
5626205.0,2315840.0,-430.0,2,5,5,5
5626205.0,2315840.0,-435.0,2,5,5,5
5626205.0,2315840.0,-435.0,7,5,5,5
5626205.0,2315840.0,-440.0,7,5,5,5
5626205.0,2315840.0,-440.0,6,5,5,5
5626205.0,2315840.0,-445.0,6,5,5,5
5626205.0,2315840.0,-445.0,7,5,5,5
5626205.0,2315840.0,-450.0,6,5,5,5
5626205.0,2315840.0,-450.0,7,5,5,5
5626205.0,2315840.0,-455.0,6,5,5,5
5626190.0,2315695.0,-415.0,2,5,5,5
5626190.0,2315695.0,-510.0,2,5,5,5
5626190.0,2315695.0,-515.0,2,5,5,5
5626190.0,2315695.0,-520.0,2,5,5,5
5626190.0,2315695.0,-525.0,2,5,5,5
5626190.0,2315695.0,-530.0,2,5,5,5
5626190.0,2315695.0,-535.0,2,5,5,5
5626190.0,2315695.0,-535.0,5,5,5,5
5626190.0,2315695.0,-540.0,5,5,5,5
5626205.0,2315840.0,-415.0,1,5,5,5
5626205.0,2315840.0,-420.0,1,5,5,5
5626205.0,2315840.0,-420.0,6,5,5,5
5626205.0,2315840.0,-420.0,4,5,5,5
5626205.0,2315840.0,-435.0,4,5,5,5
5626205.0,2315840.0,-440.0,4,5,5,5
5626205.0,2315840.0,-440.0,5,5,5,5
5626205.0,2315840.0,-425.0,1,5,5,5
5626205.0,2315840.0,-430.0,1,5,5,5
5626205.0,2315840.0,-435.0,5,5,5,5
5626205.0,2315840.0,-440.0,2,5,5,5
5626205.0,2315840.0,-440.0,3,5,5,5
5626205.0,2315840.0,-445.0,3,5,5,5
5626205.0,2315840.0,-445.0,2,5,5,5
5626205.0,2315840.0,-450.0,2,5,5,5
5626205.0,2315840.0,-455.0,2,5,5,5
5626200.0,2315840.0,-415.0,4,5,5,5
5626200.0,2315840.0,-420.0,4,5,5,5
5626200.0,2315840.0,-425.0,4,5,5,5
5626200.0,2315840.0,-425.0,8,5,5,5
5626200.0,2315840.0,-430.0,8,5,5,5
5626200.0,2315840.0,-430.0,4,5,5,5
5626200.0,2315840.0,-435.0,4,5,5,5
